itemCollection_SLDF_Mech_lvl-5,,,
mechdef_bullshark_BSK-MAZ,Mech,1,1
mechdef_centurion_CN9-YLW2,Mech,1,1
mechdef_charger_CGR-1A1,Mech,1,1
mechdef_crab_CRB-27b,Mech,1,1
mechdef_griffin_GRF-2N,Mech,1,1
mechdef_griffin_GRF-4N,Mech,1,1
mechdef_hermes_HER-1A,Mech,1,1
mechdef_hermes_HER-1B,Mech,1,1
mechdef_locust_LCT-1D,Mech,1,1
mechdef_marauder_MAD-2R,Mech,1,1
mechdef_phoenixhawk_PXH-1b,Mech,1,1
mechdef_shadowhawk_SHD-3H,Mech,1,1
mechdef_spider_SDR-7M,Mech,1,1
mechdef_thorn_THE-Nb,Mech,1,1
mechdef_toro_TR-A-6,Mech,1,1
mechdef_warhammer_WHM-7A,Mech,1,1
mechdef_whitworth_WTH-1S,Mech,1,1
mechdef_wolverine_WVR-6T,Mech,1,1
mechdef_wyvern_WVE-6N,Mech,1,1
mechdef_firefly_FFL-3A,Mech,1,1
mechdef_hermes_HER-1S,Mech,1,1
mechdef_hermes_HER-1Sb,Mech,1,1
mechdef_hussar_HSR-200-D,Mech,1,1
mechdef_hussar_HSR-200-Db,Mech,1,1
mechdef_locust_LCT-1Vb,Mech,1,1
mechdef_mercury_MCY-99,Mech,1,1
mechdef_mongoose_MON-66,Mech,1,1
mechdef_mongoose_MON-66b,Mech,1,1
mechdef_nighthawk_NTK-2Q,Mech,1,1
mechdef_stinger_STG-3Gb,Mech,1,1
mechdef_talon_TLN-5V,Mech,1,1
mechdef_thorn_THE-N,Mech,1,1
mechdef_sentinel_STN-3L,Mech,1,1
