itemCollection_SLDF_Equipment_lvl-1,Reference,1,1
itemCollection_SLDF_Mech_lvl-1,Reference,1,1
itemCollection_SLDF_MechPart_lvl-1,Reference,1,1
itemCollection_SLDF_Vee_lvl-1,Reference,1,1
itemCollection_SLDF_Weapons_lvl-1,Reference,1,1
itemCollection_SLDF_Ammo_lvl-2,Reference,1,1
itemCollection_SLDF_Equipment_lvl-2,Reference,1,1
itemCollection_SLDF_Mech_lvl-2,Reference,1,1
itemCollection_SLDF_MechPart_lvl-2,Reference,1,1
itemCollection_SLDF_Vee_lvl-2,Reference,1,1
itemCollection_SLDF_Weapons_lvl-2,Reference,1,1
itemCollection_SLDF_Ammo_lvl-3,Reference,1,1
itemCollection_SLDF_Equipment_lvl-3,Reference,1,1
itemCollection_SLDF_Mech_lvl-3,Reference,1,1
itemCollection_SLDF_MechPart_lvl-3,Reference,1,1
itemCollection_SLDF_Vee_lvl-3,Reference,1,1
itemCollection_SLDF_Weapons_lvl-3,Reference,1,1
itemCollection_SLDF_Equipment_lvl-4,Reference,1,1
itemCollection_SLDF_Mech_lvl-4,Reference,1,1
itemCollection_SLDF_MechPart_lvl-4,Reference,1,1
itemCollection_SLDF_Vee_lvl-4,Reference,1,1
itemCollection_SLDF_Weapons_lvl-4,Reference,1,1
itemCollection_SLDF_Ammo_lvl-5,Reference,1,1
itemCollection_SLDF_Equipment_lvl-5,Reference,1,1
itemCollection_SLDF_Mech_lvl-5,Reference,1,1
itemCollection_SLDF_MechPart_lvl-5,Reference,1,1
itemCollection_SLDF_Weapons_lvl-5,Reference,1,1
itemCollection_SLDF_Equipment_lvl-6,Reference,1,1
itemCollection_SLDF_Mech_lvl-6,Reference,1,1
itemCollection_SLDF_MechPart_lvl-6,Reference,1,1
itemCollection_SLDF_Weapons_lvl-6,Reference,1,1
itemCollection_SLDF_Weapons_lvl-7,Reference,1,1
